pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
Qual é uma vantagem do uso de threads?,Eliminam bugs automaticamente,Deixam o programa mais seguro,Reduzem o uso de memória,Permitem dividir tarefas e usar melhor os núcleos do processador,D
Qual é uma vantagem do uso de threads?,Deixam o programa mais seguro,Reduzem o uso de memória,Permitem dividir tarefas e usar melhor os núcleos do processador,Eliminam bugs automaticamente,C
Quando ocorre uma condição de corrida?,Quando duas threads acessam e modificam um recurso ao mesmo tempo,Quando há múltiplas CPUs,Quando não há threads,Quando o código é lento,A
Qual é uma vantagem do uso de threads?,Reduzem o uso de memória,Permitem dividir tarefas e usar melhor os núcleos do processador,Deixam o programa mais seguro,Eliminam bugs automaticamente,B
Qual biblioteca padrão do Python permite trabalhar com threads?,numpy,threading,asyncio,math,B
O que pode causar deadlock?,Uso de listas em paralelo,Threads esperando eternamente por recursos,Excesso de memória,Threads bem sincronizadas,B
Qual o principal objetivo de um semáforo?,Interromper uma thread,Evitar acesso concorrente a um recurso compartilhado,Permitir acesso simultâneo a um recurso,Aumentar a velocidade do programa,B
Para que serve o método release() em um semáforo?,Permitir que outra thread use o recurso,Salvar os dados no disco,Bloquear a execução da thread,Encerrar uma thread,A
Qual biblioteca padrão do Python permite trabalhar com threads?,threading,math,numpy,asyncio,A
Semáforos são usados para?,Garantir que o código rode mais rápido,Iniciar múltiplos processos,Evitar uso simultâneo de recursos críticos,Impedir o uso de memória,C
Qual o principal objetivo de um semáforo?,Interromper uma thread,Evitar acesso concorrente a um recurso compartilhado,Aumentar a velocidade do programa,Permitir acesso simultâneo a um recurso,B
Qual o principal objetivo de um semáforo?,Evitar acesso concorrente a um recurso compartilhado,Permitir acesso simultâneo a um recurso,Aumentar a velocidade do programa,Interromper uma thread,A
Semáforos são usados para?,Impedir o uso de memória,Garantir que o código rode mais rápido,Iniciar múltiplos processos,Evitar uso simultâneo de recursos críticos,D
O que o método acquire() faz em um semáforo?,Bloqueia o semáforo até estar disponível,Cria uma nova thread,Finaliza a execução do programa,Lê uma variável global,A
